,frases
51903,ajudar
51905,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
51909,marcelo vamos conversar sobre
51910,favor escolha opcoes abaixo
51911,devolucao
51912,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
51913,falar atendente humano
51915,redirecionar atendente humano clique botao abaixo
51917,instante verificando alguem online
51919,momento nao ninguem atender tente novamente outro horario
51921,breve bjs
51925,marta vamos conversar sobre
51926,favor escolha opcoes abaixo
51928,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
51929,deseja saber
51930,geladeira
51931,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
51932,ajudar alguma coisa
51934,favor escolha opcoes abaixo
51936,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
51937,deseja saber
51939,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
51940,ajudar alguma coisa
51942,marta
51945,si pb
51946,janaina kelly si vamos conversar sobre
51947,favor escolha opcoes abaixo
51948,si duvidas
51949,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
51950,deseja saber
51951,si site balcao itmami preto marrom nome outra colecao
51952,voce quer outra pessoa retire produto lugar entao solicitacao vai precisar ser feita <NUMERO> alguem auxiliar deve fazer
51953,alguma ajuda
51954,si sim
51955,favor escolha opcoes abaixo
51956,si duvidas
51957,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
51958,deseja saber
51959,si nome produto nao corresponde foto
51960,kelly si vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
51961,ajudar alguma coisa
51962,si nao
51967,hemerson vamos conversar sobre
51968,favor escolha opcoes abaixo
51970,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
51971,deseja saber
51972,faco pra mudar endereco entrega pedido
51973,realizar compra online necessario feito primeiro cadastro criando conta opcao criar conta pagina principal
51974,precisar alterar algum dado cadastro tambem necessario acessar conta
51975,ajudar
51977,aqui sempre precisar hemerson
51981,alyne vamos conversar sobre
51982,favor escolha opcoes abaixo
51983,devolucao
51984,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
51985,falar atendente humano
51988,momento nao ninguem atender tente novamente outro horario
51990,breve bjs
51994,laryssa vamos conversar sobre
51995,favor escolha opcoes abaixo
51996,devolucao
51997,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
51998,falar atendente humano
52001,momento nao ninguem atender tente novamente outro horario
52003,breve bjs
52006,pb
52007,dario vamos conversar sobre
52008,favor escolha opcoes abaixo
52009,troca devolucao
52010,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
52011,falar atendente humano
52012,sim
52013,redirecionar atendente humano clique botao abaixo
52014,trueconsultahumano
52015,instante verificando alguem online
52016,falsechatonline
52017,momento nao ninguem atender tente novamente outro horario
52021,italo vamos conversar sobre
52022,favor escolha opcoes abaixo
52024,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52025,deseja saber
52026,coloquei endereco pedido errado fazer
52027,cadastrado mail errado voce podera realizar outro cadastro cpf problemas
52028,ajudar
52033,pb
52034,vanuza barbosa vamos conversar sobre
52035,favor escolha opcoes abaixo
52036,lojas
52037,lojas armazem paraiba claudino estao localizadas estados
52038,paraiba pb
52039,opcoes abaixo
52040,guarabira
52041,contato localizacao
52042,guarabira
52043,sim
52044,favor escolha opcoes abaixo
52045,duvidas
52046,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52047,deseja saber
52048,faco pra comprar carne
52049,carne casa utilizado apenas compras lojas fisicas pagamento efetuado qualquer loja fisica grupo
52050,quiser saber precisa abrir crediario necessario ir ate lojas pegar informacoes
52051,ajudar
52052,nao
52053,barbosa vou tentar ver colegas proxima vez consiga ajudar melhor abracos
52056,pb
52057,gisele kamilo vamos conversar sobre
52058,favor escolha opcoes abaixo
52059,duvidas
52060,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52061,deseja saber
52062,faco pra cancelar pedido
52063,kamilo preparamos conteudo completo sobre duvidas desse tema <SITE>
52064,duvidas relacao cancelamento pode entrar contato atraves numero <NUMERO> algum colega ira ajudar
52065,ajudar
52066,sim
52067,aqui sempre precisar gisele kamilo
52070,pb
52071,dario ferreira vamos conversar sobre
52072,favor escolha opcoes abaixo
52073,troca devolucao
52074,ferreira duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
52075,falar atendente humano
52076,sim
52077,redirecionar atendente humano clique botao abaixo
52078,trueconsultahumano
52079,instante verificando alguem online
52080,falsechatonline
52081,ferreira momento nao ninguem atender tente novamente outro horario
52085,ivaildo vamos conversar sobre
52086,favor escolha opcoes abaixo
52088,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52089,deseja saber
52090,loja soledade pb
52091,lojas armazem paraiba claudino estao localizadas estados
52092,pb
52093,opcoes abaixo
52095,contato localizacao
52098,favor escolha opcoes abaixo
52101,marin pb
52102,maria nyedhia marin vamos conversar sobre
52103,favor escolha opcoes abaixo
52107,marcelo vamos conversar sobre
52108,favor escolha opcoes abaixo
52110,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52111,deseja saber
52112,telefone fa central fucionando
52113,lojas armazem paraiba claudino estao localizadas estados
52114,pe
52115,opcoes abaixo
52117,contato localizacao
52120,marcelo
52124,vanessa vamos conversar sobre
52125,favor escolha opcoes abaixo
52126,devolucao
52127,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
52128,falar atendente humano
52130,redirecionar atendente humano clique botao abaixo
52132,instante verificando alguem online
52134,momento nao ninguem atender tente novamente outro horario
52136,breve bjs
52140,tamires vamos conversar sobre
52141,favor escolha opcoes abaixo
52143,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52144,deseja saber
52148,pena reginaldo percebi estado voce falando nao possui lojas armazem paraiba claudino atuamos apenas estados pb pe ce ba
52149,voce deseje falar armazem paraiba regiao <SITE>
52150,deseja continuar conversa clique continuar
52152,reginaldo vamos conversar sobre
52153,favor escolha opcoes abaixo
52155,favor informa numero pedido <PEDIDO>
52157,nao entendi voce quis dizer vamos tentar novamente
52158,favor escolha opcoes abaixo
52160,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52161,deseja saber
52162,atrasada
52163,voce comprou site cartao credito apos confirmacao pedido prazo analise pagamento ate <NUMERO> horas uteis dentro desse periodo saldo compra fica reservado nao preocupe compra nao aprovada saldo voltara breve
52164,comprado pagar boleto prazo confirmacao <NUMERO> dia util considerando calendario feriados nacional apos efetivacao pagamento
52165,ajudar
52167,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
52170,pb
52171,jozi vamos conversar sobre
52172,favor escolha opcoes abaixo
52173,duvidas
52174,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52175,deseja saber
52176,realizar compra
52177,realizar compra online necessario feito primeiro cadastro criando conta opcao criar conta pagina principal
52178,precisar alterar algum dado cadastro tambem necessario acessar conta
52179,ajudar
52182,luz ramos pe
52183,jorine luz ramos vamos conversar sobre
52184,favor escolha opcoes abaixo
52185,luz ramos pedido
52186,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52187,luz ramos <PEDIDO>
52188,preciso informe cpf pessoa realizou compra
52192,vanessa vamos conversar sobre
52193,favor escolha opcoes abaixo
52195,favor informa numero pedido <PEDIDO>
52196,consigo gerar boleto
52197,nao entendi
52198,favor escolha opcoes abaixo
52200,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52201,deseja saber
52202,consigo gerar boleto
52203,favor informa numero pedido <PEDIDO>
52206,pb
52207,lourinete lacerda vamos conversar sobre
52208,favor escolha opcoes abaixo
52209,duvidas
52210,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52211,deseja saber
52212,nao consigo comprar
52213,lacerda realizar compra online necessario feito primeiro cadastro criando conta opcao criar conta pagina principal
52214,precisar alterar algum dado cadastro tambem necessario acessar conta
52215,ajudar
52216,sim
52217,aqui sempre precisar lourinete lacerda
52221,suelen vamos conversar sobre
52222,favor escolha opcoes abaixo
52224,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52225,deseja saber
52226,compra online voces aceitam cartao propria loja quer dizer cartao paraiba
52227,voce sabia existem tres grupos usam mesma marca caso voce deseje falar armazem paraiba regiao <SITE>
52228,ajudar
52230,alguma coisa
52232,favor escolha opcoes abaixo
52234,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52235,deseja saber
52236,posso realizar compra online utilizando cartao credito paraiba
52237,voce comprou site cartao credito apos confirmacao pedido prazo analise pagamento ate <NUMERO> horas uteis dentro desse periodo saldo compra fica reservado nao preocupe compra nao aprovada saldo voltara breve
52238,comprado pagar boleto prazo confirmacao <NUMERO> dia util considerando calendario feriados nacional apos efetivacao pagamento
52239,ajudar
52241,alguma coisa
52244,pb
52245,emanoel ricarlos vamos conversar sobre
52246,favor escolha opcoes abaixo
52247,duvidas
52248,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52249,deseja saber
52250,posso retirar produto loja
52251,retirada produto loja prazo entrega <NUMERO> uteis apos receber mail confirmacao pagamento
52252,escolheu receber produto casa prazo entrega <NUMERO> dias uteis confirmacao pagamento
52253,todos casos enviaremos mail sempre atualizacao status pedido
52254,consultar pedido
52255,lojas estao fechadas
52256,nao entendi voce quis dizer vamos tentar novamente
52257,favor escolha opcoes abaixo
52258,lojas
52259,lojas armazem paraiba claudino estao localizadas estados
52260,paraiba pb
52261,opcoes abaixo
52262,cajazeiras
52263,contato localizacao
52264,sim
52265,favor escolha opcoes abaixo
52266,duvidas
52267,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52268,deseja saber
52269,lojas vao reabrir
52270,lojas armazem paraiba claudino estao localizadas estados
52271,paraiba pb
52272,opcoes abaixo
52273,cajazeiras
52274,contato localizacao
52275,nao
52276,emanoel ricarlos
52280,roberto vamos conversar sobre
52281,favor escolha opcoes abaixo
52283,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52284,deseja saber
52285,cidade iguatu onde moro passei ontem loja pra ver possivel compra produto produto caixa oneal modelo opb <NUMERO> assim cheguei la valor caixa <NUMERO> alguma coisa chegava <NUMERO> dei saidinha pra ir banco pra ver possobilidade tirar dinheiro pra comprar voltei la gerente loja automaticamente ja atualizado valor passou custar quase <NUMERO> reais produto dai acabei desistindo vendo aqui site faco busca produto encontra valor <NUMERO> so clico falta faco pra pegar produto nesse valor pois aqui iguatu bastou gerente ver interessado logo la atualizou valor aumentando quase <NUMERO> valor anterior
52286,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
52287,ajudar alguma coisa
52289,aqui sempre precisar roberto
52292,ce
52293,maiza lorrany vamos conversar sobre
52294,favor escolha opcoes abaixo
52295,troca devolucao
52296,lorrany duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
52297,falar atendente humano
52298,sim
52299,redirecionar atendente humano clique botao abaixo
52300,trueconsultahumano
52301,instante verificando alguem online
52302,falsechatonline
52303,lorrany momento nao ninguem atender tente novamente outro horario
52304,tchau
52305,breve bjs
52309,carlos vamos conversar sobre
52310,favor escolha opcoes abaixo
52311,devolucao
52312,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
52313,falar atendente humano
52315,redirecionar atendente humano clique botao abaixo
52317,instante verificando alguem online
52319,momento nao ninguem atender tente novamente outro horario
52321,breve bjs
52324,pb
52325,marcio gomes vamos conversar sobre
52326,favor escolha opcoes abaixo
52327,duvidas
52328,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52329,deseja saber
52330,cancelamento umas compra
52331,gomes duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
52332,falar atendente humano
52333,sim
52334,falsechatonline
52335,gomes momento nao ninguem atender tente novamente outro horario
52336,tchau
52337,breve bjs
52341,tatiane vamos conversar sobre
52342,favor escolha opcoes abaixo
52344,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52345,apareceu
52346,favor escolha opcoes abaixo
52348,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52349,deseja saber
52350,porque fiz compra agr fritadeira oleo mundial valor <NUMERO>
52351,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
52352,ajudar alguma coisa
52354,aqui sempre precisar tatiane
52357,pb
52358,raiane silva vamos conversar sobre
52359,favor escolha opcoes abaixo
52360,duvidas
52361,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52362,deseja saber
52363,entrega
52364,retirada produto loja prazo entrega <NUMERO> uteis apos receber mail confirmacao pagamento
52365,escolheu receber produto casa prazo entrega <NUMERO> dias uteis confirmacao pagamento
52366,todos casos enviaremos mail sempre atualizacao status pedido
52367,consultar pedido
52371,luana vamos conversar sobre
52372,favor escolha opcoes abaixo
52374,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52375,deseja saber
52376,funciona garantia todos produtos recompensados site
52377,voce comprou site cartao credito apos confirmacao pedido prazo analise pagamento ate <NUMERO> horas uteis dentro desse periodo saldo compra fica reservado nao preocupe compra nao aprovada saldo voltara breve
52378,comprado pagar boleto prazo confirmacao <NUMERO> dia util considerando calendario feriados nacional apos efetivacao pagamento
52379,ajudar
52381,favor preciso insira dados abaixo possamos entrar contato voce
52383,breve bjs
52386,pb
52387,leonardo trajano vamos conversar sobre
52388,favor escolha opcoes abaixo
52389,pedido
52390,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52391,<NUMERO>
52392,nao entendi
52393,favor escolha opcoes abaixo
52394,pedido
52395,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52398,pb
52399,altino moreira vamos conversar sobre
52400,favor escolha opcoes abaixo
52401,duvidas
52402,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52403,deseja saber
52404,ate ano passado trabalhar vamos gravando off armazem paraiba
52405,so altino moreira voce pode enviar curriculo <NUMERO>
52406,ajudar alguma coisa
52407,sim
52408,favor escolha opcoes abaixo
52409,duvidas
52410,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52411,deseja saber
52412,quero enviar demonstracao audio gravamos
52413,moreira vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
52414,ajudar alguma coisa
52415,sim
52416,favor escolha opcoes abaixo
52417,duvidas
52418,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52419,deseja saber
52420,<NUMERO> <NUMERO> obrigado
52421,ajudar
52422,nao
52423,moreira vou tentar ver colegas proxima vez consiga ajudar melhor abracos
52427,daniel vamos conversar sobre
52428,favor escolha opcoes abaixo
52430,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52431,deseja saber
52432,compra
52433,preparamos conteudo completo sobre duvidas desse tema <SITE>
52434,duvidas relacao cancelamento pode entrar contato atraves numero <NUMERO> algum colega ira ajudar
52435,ajudar
52437,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
52441,camila vamos conversar sobre
52442,favor escolha opcoes abaixo
52444,lojas armazem paraiba claudino estao localizadas estados
52445,pb
52446,opcoes abaixo
52447,pessoa
52448,contato localizacao
52452,favor escolha opcoes abaixo
52454,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52455,deseja saber
52459,jeova vamos conversar sobre
52460,favor escolha opcoes abaixo
52461,devolucao
52462,preparamos conteudo completo sobre duvidas desse tema <SITE>
52463,duvidas relacao cancelamento pode entrar contato atraves numero <NUMERO> algum colega ira ajudar
52464,ajudar
52466,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
52470,jociara vamos conversar sobre
52471,favor escolha opcoes abaixo
52473,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52474,deseja saber
52475,colchao berco americano site
52476,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
52477,ajudar alguma coisa
52479,aqui sempre precisar jociara
52483,pena joicy percebi estado voce falando nao possui lojas armazem paraiba claudino atuamos apenas estados pb pe ce ba
52484,voce deseje falar armazem paraiba regiao <SITE>
52485,deseja continuar conversa clique continuar
52487,joicy vamos conversar sobre
52488,favor escolha opcoes abaixo
52490,favor informa numero pedido <PEDIDO>
52492,nao entendendo
52493,favor escolha opcoes abaixo
52495,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52496,deseja saber
52497,carne
52498,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
52499,ajudar alguma coisa
52501,favor escolha opcoes abaixo
52503,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52504,deseja saber
52506,carne casa utilizado apenas compras lojas fisicas pagamento efetuado qualquer loja fisica grupo
52507,quiser saber precisa abrir crediario necessario ir ate lojas pegar informacoes
52508,ajudar
52510,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
52513,pb
52514,flavia vamos conversar sobre
52515,favor escolha opcoes abaixo
52516,pedido
52517,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52518,cpf <NUMERO>
52519,favor escolha opcoes abaixo
52520,duvidas
52521,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52522,deseja saber
52523,realizei compra voces dia <NUMERO> fevereiro pagamento ja confirmado produto ainda nao loja
52524,voce comprou site cartao credito apos confirmacao pedido prazo analise pagamento ate <NUMERO> horas uteis dentro desse periodo saldo compra fica reservado nao preocupe compra nao aprovada saldo voltara breve
52525,comprado pagar boleto prazo confirmacao <NUMERO> dia util considerando calendario feriados nacional apos efetivacao pagamento
52526,consultar pedido verificar status
52527,pra possa fazer retirada
52528,nao entendi voce quis dizer vamos tentar novamente
52529,favor escolha opcoes abaixo
52530,duvidas
52531,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52532,deseja saber
52533,pedido
52534,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52535,<NUMERO>
52536,nao entendi
52537,favor escolha opcoes abaixo
52541,lucineide vamos conversar sobre
52542,favor escolha opcoes abaixo
52544,favor informa numero pedido <PEDIDO>
52545,crediario
52546,nao entendi voce quis dizer vamos tentar novamente
52547,favor escolha opcoes abaixo
52549,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52550,deseja saber
52552,carne casa utilizado apenas compras lojas fisicas pagamento efetuado qualquer loja fisica grupo
52553,quiser saber precisa abrir crediario necessario ir ate lojas pegar informacoes
52554,ajudar
52556,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
52559,oliveira pb
52560,evandro oliveira vamos conversar sobre
52561,favor escolha opcoes abaixo
52562,oliveira pedido
52563,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52564,oliveira <NUMERO>
52565,nao entendendo
52566,favor escolha opcoes abaixo
52567,oliveira pedido
52568,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52569,oliveira <NUMERO>
52570,nao entendi
52571,favor escolha opcoes abaixo
52572,oliveira pedido
52573,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52574,oliveira numero pedido <NUMERO>
52575,nao consegui encontrar compras pedido confirma pedido novamente
52576,oliveira <NUMERO>
52577,favor preciso insira dados abaixo possamos entrar contato voce
52578,oliveira tchau
52579,breve bjs
52583,elaine vamos conversar sobre
52584,favor escolha opcoes abaixo
52585,devolucao
52586,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
52587,falar atendente humano
52589,redirecionar atendente humano clique botao abaixo
52591,instante verificando alguem online
52593,momento nao ninguem atender tente novamente outro horario
52595,breve bjs
52598,rj
52599,pena ivonete nascimento percebi estado voce falando nao possui lojas armazem paraiba claudino atuamos apenas estados pb pe ce ba
52600,voce deseje falar armazem paraiba regiao <SITE>
52601,deseja continuar conversa clique continuar
52602,tchau estado
52603,entrar contato gente abracos
52607,patricia vamos conversar sobre
52608,favor escolha opcoes abaixo
52610,favor informa numero pedido <PEDIDO>
52611,divida atrasada
52612,nao entendendo
52613,favor escolha opcoes abaixo
52615,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52616,deseja saber
52617,divida
52618,carne casa utilizado apenas compras lojas fisicas pagamento efetuado qualquer loja fisica grupo
52619,quiser saber precisa abrir crediario necessario ir ate lojas pegar informacoes
52620,ajudar
52623,momento nao ninguem atender tente novamente outro horario
52627,ezequiel vamos conversar sobre
52628,favor escolha opcoes abaixo
52630,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52631,deseja saber
52635,joao vamos conversar sobre
52636,favor escolha opcoes abaixo
52638,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52639,deseja saber
52640,fazem entrega toda paraiba
52641,nao entendendo
52642,favor escolha opcoes abaixo
52646,<NUMERO> vamos conversar sobre
52647,favor escolha opcoes abaixo
52648,devolucao
52649,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
52650,falar atendente humano
52653,momento nao ninguem atender tente novamente outro horario
52655,breve bjs
52658,pb
52659,giurleide vamos conversar sobre
52660,favor escolha opcoes abaixo
52661,troca devolucao
52662,preparamos conteudo completo sobre duvidas desse tema <SITE>
52663,duvidas relacao cancelamento pode entrar contato atraves numero <NUMERO> algum colega ira ajudar
52664,ajudar
52665,sim
52666,bom giurleide abracos
52670,elaine vamos conversar sobre
52671,favor escolha opcoes abaixo
52673,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52674,deseja saber
52675,saber estara disponivel loja mangabeira maquina costura bella <NUMERO> branco rosa elgin
52676,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
52677,ajudar alguma coisa
52679,favor escolha opcoes abaixo
52681,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52682,deseja saber
52683,saber estara disponivel loja mangabeira maquina costura bella <NUMERO> branco rosa elgin
52684,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
52685,ajudar alguma coisa
52691,thaysa vamos conversar sobre
52692,favor escolha opcoes abaixo
52694,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52695,deseja saber
52696,consigo comprar net pra retirar loja cidade
52697,voce comprou retirar produto loja prazo retirada <NUMERO> horas uteis apos voce receber mail confirmacao pagamento
52698,voce comprou site escolheu receber produto casa prazo entrega <NUMERO> dias uteis confirmacao pagamento todos casos enviaremos mail sempre atualizacao status pedido
52699,tambem informacoes aqui proprio site <SITE>
52700,consultar pedido
52702,ajudar
52704,favor preciso insira dados abaixo possamos entrar contato voce
52706,breve bjs
52710,pena maiza percebi estado voce falando nao possui lojas armazem paraiba claudino atuamos apenas estados pb pe ce ba
52711,voce deseje falar armazem paraiba regiao <SITE>
52712,deseja continuar conversa clique continuar
52714,maiza vamos conversar sobre
52715,favor escolha opcoes abaixo
52717,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52718,deseja saber
52719,duvidas aberto quero pagar faco
52720,nao entendendo
52721,favor escolha opcoes abaixo
52723,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52724,deseja saber
52725,dividas aberto quero pagar
52726,nao entendi
52727,favor escolha opcoes abaixo
52730,marti sp
52731,pena maria damiana marti percebi estado voce falando nao possui lojas armazem paraiba claudino atuamos apenas estados pb pe ce ba
52732,voce deseje falar armazem paraiba regiao <SITE>
52733,deseja continuar conversa clique continuar
52734,marti tchau estado
52735,entrar contato maria damiana marti estarei sempre aqui
52738,pb
52739,thiago vamos conversar sobre
52740,favor escolha opcoes abaixo
52741,pedido
52742,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52743,<NUMERO>
52744,nao entendi voce quis dizer vamos tentar novamente
52745,favor escolha opcoes abaixo
52746,pedido
52747,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52748,<NUMERO>
52749,nao entendendo
52750,favor escolha opcoes abaixo
52751,pedido
52752,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52753,<NUMERO>
52754,nao entendi
52755,favor escolha opcoes abaixo
52756,pedido
52757,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52758,<NUMERO>
52759,nao entendendo
52760,favor escolha opcoes abaixo
52761,duvidas
52762,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
52763,deseja saber
52764,pedido nao aprovado
52765,voce comprou site cartao credito apos confirmacao pedido prazo analise pagamento ate <NUMERO> horas uteis dentro desse periodo saldo compra fica reservado nao preocupe compra nao aprovada saldo voltara breve
52766,comprado pagar boleto prazo confirmacao <NUMERO> dia util considerando calendario feriados nacional apos efetivacao pagamento
52767,consultar pedido verificar status
52768,quero
52769,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52770,<NUMERO>
52771,nao entendi voce quis dizer vamos tentar novamente
52772,favor escolha opcoes abaixo
52773,lojas
52774,lojas armazem paraiba claudino estao localizadas estados
52775,paraiba pb
52776,opcoes abaixo
52777,bayeux
52778,contato localizacao
52779,nao
52783,ce
52784,josenir mota vamos conversar sobre
52785,favor escolha opcoes abaixo
52786,pedido
52787,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52788,<NUMERO>
52789,nao entendendo
52790,favor escolha opcoes abaixo
52794,<PEDIDO> vamos conversar sobre
52795,favor escolha opcoes abaixo
52797,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
52798,comprar ventilador
52799,nao entendendo
52800,favor escolha opcoes abaixo
