,frases
921,escolheu opcao receber produto residencia prazo entrega <NUMERO> dias uteis confirmacao pagamento
922,consultar status entrega
923,sim
931,residencia
933,compra sera entregue ate <span style color <NUMERO> voce ira receber ligacao agendar dia entrega
960,ajudar
961,sim
962,aqui sempre precisar adilson
965,pb
966,adilson bezerra vamos conversar sobre
967,favor escolha opcoes abaixo
968,pedido
969,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
970,<PEDIDO>
971,preciso informe cpf pessoa realizou compra
972,<NUMERO>
973,compra adilson bezerra status pedido
975,alguma informacao sobre pedido
976,nao
977,ajudar
978,sim
979,adilson bezerra
983,flavio vamos conversar sobre
984,favor escolha opcoes abaixo
986,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
987,deseja saber
988,dia
989,favor escolha opcoes abaixo
991,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
993,preciso informe cpf pessoa realizou compra
995,compra flavio status pedido
997,alguma informacao sobre pedido
999,tentar ajudar duvida flavio
1001,escolheu opcao receber produto residencia prazo entrega <NUMERO> dias uteis confirmacao pagamento
1002,consultar status entrega
1018,loja
1020,pedido <span style color <PEDIDO> estara disponivel ir pegar loja partir <span style color <NUMERO>
1040,ajudar
1042,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
1045,pb
1046,raquel barbosa vamos conversar sobre
1047,favor escolha opcoes abaixo
1048,pedido
1049,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1050,<PEDIDO>
1051,preciso informe cpf pessoa realizou compra
1052,<NUMERO>
1053,nao consegui encontrar compras cpf informa novamente
1054,<NUMERO>
1055,nao entendi
1056,favor escolha opcoes abaixo
1057,duvidas
1058,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
1059,deseja saber
1060,cancela pedido pendente
1061,barbosa duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
1062,falar atendente humano
1063,sim
1064,redirecionar atendente humano clique botao abaixo
1065,trueconsultahumano
1066,instante verificando alguem online
1067,falsechatonline
1068,barbosa momento nao ninguem atender tente novamente outro horario
1069,tchau
1070,breve bjs
1073,pb
1074,cristovao halisson vamos conversar sobre
1075,favor escolha opcoes abaixo
1076,pedido
1077,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1078,<PEDIDO>
1079,preciso informe cpf pessoa realizou compra
1080,quero complementar endereco
1081,nao entendi
1082,favor escolha opcoes abaixo
1083,pedido
1084,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1085,<PEDIDO>
1086,preciso informe cpf pessoa realizou compra
1087,<NUMERO>
1088,compra cristovao halisson status pedido
1090,alguma informacao sobre pedido
1093,lima pe pb
1094,marthyna lima pe vamos conversar sobre
1095,favor escolha opcoes abaixo
1096,lima pe pedido
1097,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1098,lima pe <PEDIDO>
1099,preciso informe cpf pessoa realizou compra
1100,lima pe <NUMERO>
1101,compra marthyna lima pe status pedido
1103,alguma informacao sobre pedido
1104,lima pe sim
1105,ainda aprendendo marthyna lima pe algumas duvidas ainda nao consigo ajudar aqui fala duvida sobre prazo entrega confirmacao pagamento
1106,lima pe prazo entrega
1107,escolheu opcao receber produto residencia prazo entrega <NUMERO> dias uteis confirmacao pagamento
1108,consultar status entrega
1109,lima pe sim
1110,lima pe voce escolheu <div style
1117,residencia
1119,finalizacao compra ate <NUMERO> horas confirmar pagamento caso compra sido efetuada cartao voce pode receber ligacao outra regiao
1146,ajudar
1147,lima pe sim
1148,marthyna lima pe
1152,francisco vamos conversar sobre
1153,favor escolha opcoes abaixo
1155,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1157,preciso informe cpf pessoa realizou compra
1159,compra francisco status pedido
1161,alguma informacao sobre pedido
1163,duvida francisco
1164,funcionamento
1165,nao entendendo
1166,favor escolha opcoes abaixo
1169,pb
1170,cristiana vamos conversar sobre
1171,favor escolha opcoes abaixo
1172,pedido
1173,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1174,<PEDIDO>
1175,preciso informe cpf pessoa realizou compra
1176,<NUMERO>
1177,compra cristiana status pedido
1179,alguma informacao sobre pedido
1180,nao
1181,ajudar
1182,sim
1183,cristiana
1187,cristiana vamos conversar sobre
1188,favor escolha opcoes abaixo
1190,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1192,preciso informe cpf pessoa realizou compra
1194,compra cristiana status pedido
1196,alguma informacao sobre pedido
1198,ajudar
1200,cristiana
1204,edvaldo vamos conversar sobre
1205,favor escolha opcoes abaixo
1207,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1209,preciso informe cpf pessoa realizou compra
1211,compra edvaldo status pedido
1213,alguma informacao sobre pedido
1215,tentar ajudar duvida edvaldo
